suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_MCC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
1,1,6,7,1,100.0,95.88,100.0,False
1,2,6,7,1,100.0,95.88,100.0,False
1,3,6,7,1,100.0,95.88,100.0,False
1,4,6,7,1,100.0,95.88,100.0,False
1,5,6,7,1,100.0,95.88,100.0,False
2,1,6,7,1,100.0,93.81,100.0,False
2,2,6,7,1,100.0,93.81,100.0,False
2,3,6,7,1,100.0,93.81,100.0,False
2,4,6,7,1,100.0,93.81,100.0,False
2,5,6,7,1,100.0,93.81,100.0,False
3,1,6,7,1,100.0,97.94,100.0,False
3,2,6,7,1,100.0,97.94,100.0,False
3,3,6,7,1,100.0,97.94,100.0,False
3,4,6,7,1,100.0,97.94,100.0,False
3,5,6,7,1,100.0,97.94,100.0,False
4,1,6,7,1,100.0,95.88,100.0,False
4,2,6,7,1,100.0,95.88,100.0,False
4,3,6,7,1,100.0,95.88,100.0,False
4,4,6,7,1,100.0,95.88,100.0,False
4,5,6,7,1,100.0,95.88,100.0,False
5,1,6,7,1,100.0,95.88,100.0,False
5,2,6,7,1,100.0,95.88,100.0,False
5,3,6,7,1,100.0,95.88,100.0,False
5,4,6,7,1,100.0,95.88,100.0,False
5,5,6,7,1,100.0,95.88,100.0,False
6,1,6,7,1,100.0,97.94,100.0,False
6,2,6,7,1,100.0,97.94,100.0,False
6,3,6,7,1,100.0,97.94,100.0,False
6,4,6,7,1,100.0,97.94,100.0,False
6,5,6,7,1,100.0,97.94,100.0,False
7,1,6,7,1,100.0,93.81,100.0,False
7,2,6,7,1,100.0,93.81,100.0,False
7,3,6,7,1,100.0,93.81,100.0,False
7,4,6,7,1,100.0,93.81,100.0,False
7,5,6,7,1,100.0,93.81,100.0,False
8,1,6,7,1,100.0,97.94,100.0,False
8,2,6,7,1,100.0,97.94,100.0,False
8,3,6,7,1,100.0,97.94,100.0,False
8,4,6,7,1,100.0,97.94,100.0,False
8,5,6,7,1,100.0,97.94,100.0,False
9,1,6,7,1,100.0,93.81,100.0,False
9,2,6,7,1,100.0,93.81,100.0,False
9,3,6,7,1,100.0,93.81,100.0,False
9,4,6,7,1,100.0,93.81,100.0,False
9,5,6,7,1,100.0,93.81,100.0,False
10,1,6,7,1,100.0,97.94,100.0,False
10,2,6,7,1,100.0,97.94,100.0,False
10,3,6,7,1,100.0,97.94,100.0,False
10,4,6,7,1,100.0,97.94,100.0,False
10,5,6,7,1,100.0,97.94,100.0,False
